ID	NameSurname	Age	WidespreadName
1	Voter1	47	1
2	Voter2	29	1
3	Voter3	50	0
4	Voter4	26	0
5	Voter5	82	0
6	Voter6	86	0
7	Voter7	33	1
8	Voter8	71	0
9	Voter9	64	0
10	Voter10	32	1
11	Voter11	54	0
12	Voter12	56	0
13	Voter13	26	0
14	Voter14	62	0
15	Voter15	43	0
16	Voter16	18	0
17	Voter17	56	0
18	Voter18	29	0
19	Voter19	79	1
20	Voter20	36	0
21	Voter21	41	0
22	Voter22	53	0
23	Voter23	52	0
24	Voter24	42	0
25	Voter25	40	0
26	Voter26	78	0
27	Voter27	67	0
28	Voter28	53	0
29	Voter29	52	0
30	Voter30	34	0
31	Voter31	45	0
32	Voter32	49	0
33	Voter33	77	1
34	Voter34	71	0
35	Voter35	55	0
36	Voter36	61	0
37	Voter37	22	0
38	Voter38	33	1
39	Voter39	58	0
40	Voter40	77	0
41	Voter41	50	0
42	Voter42	57	1
43	Voter43	62	0
44	Voter44	49	1
45	Voter45	53	0
46	Voter46	75	0
47	Voter47	36	0
48	Voter48	38	0
49	Voter49	32	0
50	Voter50	53	0
51	Voter51	62	0
52	Voter52	58	0
53	Voter53	25	0
54	Voter54	65	0
55	Voter55	34	0
56	Voter56	29	0
57	Voter57	33	0
58	Voter58	40	0
59	Voter59	36	0
60	Voter60	26	0
61	Voter61	60	0
62	Voter62	18	0
63	Voter63	49	0
64	Voter64	28	0
65	Voter65	45	1
66	Voter66	85	0
67	Voter67	51	0
68	Voter68	46	0
69	Voter69	18	0
70	Voter70	36	0
71	Voter71	84	0
72	Voter72	37	0
73	Voter73	43	0
74	Voter74	33	0
75	Voter75	63	0
76	Voter76	28	0
77	Voter77	49	0
78	Voter78	28	0
79	Voter79	50	0
80	Voter80	58	0
81	Voter81	36	1
82	Voter82	23	0
83	Voter83	78	1
84	Voter84	25	0
85	Voter85	65	0
86	Voter86	18	0
87	Voter87	28	0
88	Voter88	29	0
89	Voter89	52	1
90	Voter90	55	0
91	Voter91	40	0
92	Voter92	35	0
93	Voter93	38	0
94	Voter94	50	0
95	Voter95	45	0
96	Voter96	51	0
97	Voter97	28	0
98	Voter98	64	0
99	Voter99	49	0
100	Voter100	21	0
101	Voter101	56	0
102	Voter102	42	0
103	Voter103	35	0
104	Voter104	27	0
105	Voter105	35	1
106	Voter106	65	1
107	Voter107	75	1
108	Voter108	36	0
109	Voter109	81	0
110	Voter110	20	0
111	Voter111	39	0
112	Voter112	27	1
113	Voter113	63	0
114	Voter114	56	1
115	Voter115	41	0
116	Voter116	41	0
117	Voter117	38	0
118	Voter118	21	1
119	Voter119	41	0
120	Voter120	52	1
121	Voter121	59	0
122	Voter122	51	1
123	Voter123	82	0
124	Voter124	78	0
125	Voter125	35	0
126	Voter126	35	0
127	Voter127	39	0
128	Voter128	51	0
129	Voter129	51	0
130	Voter130	53	0
131	Voter131	19	1
132	Voter132	62	1
133	Voter133	30	0
134	Voter134	74	0
135	Voter135	22	0
136	Voter136	59	0
137	Voter137	44	1
138	Voter138	56	1
139	Voter139	78	1
140	Voter140	40	0
141	Voter141	82	0
142	Voter142	27	0
143	Voter143	18	1
144	Voter144	46	0
145	Voter145	35	0
146	Voter146	20	1
147	Voter147	41	0
148	Voter148	51	0
149	Voter149	43	1
150	Voter150	19	0
151	Voter151	38	0
152	Voter152	40	0
153	Voter153	31	0
154	Voter154	24	0
155	Voter155	40	0
156	Voter156	64	0
157	Voter157	44	0
158	Voter158	67	0
159	Voter159	71	1
160	Voter160	53	0
